,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,2,New,clpA_36,clpX_24,nifS_107,pepX_85,pyrG_37,recG_30,rplB_23,uvrA_30,0.566
1,3,Existing,clpA_36,clpX_24,nifS_23,pepX_85,pyrG_23,recG_30,rplB_23,uvrA_30,0.434
