,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,14505,New,clpA_6,clpX_119,nifS_5,pepX_95,pyrG_164,recG_18,rplB_1,uvrA_1,0.085
1,14722,New,clpA_6,clpX_1,nifS_1,pepX_20,pyrG_4,recG_6,rplB_1,uvrA_19,0.212
2,16359,New,clpA_22,clpX_1,nifS_5,pepX_8,pyrG_4,recG_7,rplB_11,uvrA_7,0.293
3,16483,New,clpA_8,clpX_119,nifS_1,pepX_14,pyrG_164,recG_18,rplB_1,uvrA_10,0.28
4,17609,New,clpA_8,clpX_1,nifS_5,pepX_9,pyrG_4,recG_6,rplB_11,uvrA_7,0.13
