,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,224,New,clpA_6,clpX_1,nifS_5,pepX_2,pyrG_1,recG_7,rplB_1,uvrA_8,0.572
1,261,New,clpA_4,clpX_5,nifS_1,pepX_17,pyrG_1,recG_6,rplB_1,uvrA_7,0.184
2,802,New,clpA_10,clpX_119,nifS_4,pepX_116,pyrG_1,recG_6,rplB_1,uvrA_6,0.244
