,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,4351,Existing,clpA_2,clpX_2,nifS_1,pepX_2,pyrG_2,recG_2,rplB_2,uvrA_2,0.854
1,4354,New,clpA_21,clpX_2,nifS_1,pepX_2,pyrG_2,recG_5,rplB_2,uvrA_2,0.146
