,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.749
1,17896,New,clpA_21,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.251
