	pyrG_168
SRR2034333.101172-1/2	0.0
SRR2034333.101172-2/2	0.0
SRR2034333.113797-1/2	0.0
SRR2034333.113797-2/2	0.0
SRR2034333.115497-1/2	0.0
SRR2034333.115497-2/2	0.0
SRR2034333.125007-1/2	0.0
SRR2034333.125007-2/2	0.0
SRR2034333.125184-1/2	0.0
SRR2034333.125184-2/2	0.0
SRR2034333.12803-1/2	0.0
SRR2034333.12803-2/2	0.0
SRR2034333.130139-1/2	0.0
SRR2034333.130139-2/2	0.0
SRR2034333.136208-1/2	0.0
SRR2034333.136208-2/2	0.0
SRR2034333.136394-1/2	0.0
SRR2034333.136394-2/2	0.0
SRR2034333.13767-1/2	0.0
SRR2034333.13767-2/2	0.0
SRR2034333.139382-1/2	0.0
SRR2034333.139382-2/2	0.0
SRR2034333.14019-1/2	0.0
SRR2034333.14019-2/2	0.0
SRR2034333.141799-1/2	0.0
SRR2034333.141799-2/2	0.0
SRR2034333.146649-1/2	0.0
SRR2034333.146649-2/2	0.0
SRR2034333.148525-1/2	0.0
SRR2034333.148525-2/2	0.0
SRR2034333.153973-1/2	0.0
SRR2034333.153973-2/2	0.0
SRR2034333.159691-1/2	0.0
SRR2034333.159691-2/2	0.0
SRR2034333.169320-1/2	0.0
SRR2034333.169320-2/2	0.0
SRR2034333.172774-1/2	0.0
SRR2034333.172774-2/2	0.0
SRR2034333.176120-1/2	0.0
SRR2034333.176120-2/2	0.0
SRR2034333.177812-1/2	0.0
SRR2034333.177812-2/2	0.0
SRR2034333.18074-1/2	0.0
SRR2034333.18074-2/2	0.0
SRR2034333.181821-1/2	0.0
SRR2034333.181821-2/2	0.0
SRR2034333.191061-1/2	0.0
SRR2034333.191061-2/2	0.0
SRR2034333.192179-1/2	0.0
SRR2034333.192179-2/2	0.0
SRR2034333.194670-1/2	0.0
SRR2034333.194670-2/2	0.0
SRR2034333.196506-1/2	0.0
SRR2034333.196506-2/2	0.0
SRR2034333.199873-1/2	0.0
SRR2034333.199873-2/2	0.0
SRR2034333.202662-1/2	0.0
SRR2034333.202662-2/2	0.0
SRR2034333.208092-1/2	0.0
SRR2034333.208092-2/2	0.0
SRR2034333.215913-1/2	0.0
SRR2034333.215913-2/2	0.0
SRR2034333.221572-1/2	0.0
SRR2034333.221572-2/2	0.0
SRR2034333.223437-1/2	0.0
SRR2034333.223437-2/2	0.0
SRR2034333.228516-1/2	0.0
SRR2034333.228516-2/2	0.0
SRR2034333.245769-1/2	0.0
SRR2034333.245769-2/2	0.0
SRR2034333.247716-1/2	0.0
SRR2034333.247716-2/2	0.0
SRR2034333.256100-1/2	0.0
SRR2034333.256100-2/2	0.0
SRR2034333.257156-1/2	0.0
SRR2034333.257156-2/2	0.0
SRR2034333.267601-1/2	0.0
SRR2034333.267601-2/2	0.0
SRR2034333.31202-1/2	0.0
SRR2034333.31202-2/2	0.0
SRR2034333.39916-1/2	0.0
SRR2034333.39916-2/2	0.0
SRR2034333.42956-1/2	0.0
SRR2034333.42956-2/2	0.0
SRR2034333.43701-1/2	0.0
SRR2034333.43701-2/2	0.0
SRR2034333.46034-1/2	0.0
SRR2034333.46034-2/2	0.0
SRR2034333.47469-1/2	0.0
SRR2034333.47469-2/2	0.0
SRR2034333.48644-1/2	0.0
SRR2034333.48644-2/2	0.0
SRR2034333.51034-1/2	0.0
SRR2034333.51034-2/2	0.0
SRR2034333.66845-1/2	0.0
SRR2034333.66845-2/2	0.0
SRR2034333.92427-1/2	0.0
SRR2034333.92427-2/2	0.0
