,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,796,Existing,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,0.383
1,11586,Existing,clpA_140,clpX_114,nifS_101,pepX_36,pyrG_125,recG_122,rplB_105,uvrA_107,0.428
2,19565,Existing,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,0.189
