,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,2,Existing,clpA_189,clpX_149,nifS_135,pepX_161,pyrG_167,recG_25,rplB_21,uvrA_162,0.517
1,3,New,clpA_208,clpX_149,nifS_135,pepX_6,pyrG_167,recG_25,rplB_21,uvrA_162,0.483
