	rplB_9	rplB_94
SRR2034335.315683-1/2	1.0	0.0
SRR2034335.315683-2/2	0.0	0.0
SRR2034335.317525-1/2	0.0	0.0
SRR2034335.317525-2/2	1.0	0.0
SRR2034335.318219-1/2	0.0	0.0
SRR2034335.318219-2/2	0.0	1.0
SRR2034335.318440-1/2	1.0	0.0
SRR2034335.318440-2/2	1.0	0.0
SRR2034335.318539-1/2	1.0	0.0
SRR2034335.318539-2/2	1.0	0.0
SRR2034335.319398-1/2	1.0	0.0
SRR2034335.319398-2/2	1.0	0.0
SRR2034335.322187-1/2	0.0	0.0
SRR2034335.322187-2/2	0.0	0.0
SRR2034335.323263-1/2	0.0	0.0
SRR2034335.323263-2/2	1.0	0.0
SRR2034335.327786-1/2	0.0	0.0
SRR2034335.327786-2/2	1.0	0.0
SRR2034335.330522-1/2	0.0	0.0
SRR2034335.330522-2/2	1.0	0.0
SRR2034335.334641-1/2	0.0	0.0
SRR2034335.334641-2/2	1.0	0.0
SRR2034335.336128-1/2	1.0	1.0
SRR2034335.336128-2/2	1.0	0.0
SRR2034335.340596-1/2	2.0	0.0
SRR2034335.340596-2/2	0.0	0.0
SRR2034335.342502-1/2	2.0	2.0
SRR2034335.342502-2/2	1.0	0.0
SRR2034335.349093-1/2	1.0	0.0
SRR2034335.349093-2/2	2.0	0.0
SRR2034335.351056-1/2	1.0	0.0
SRR2034335.351056-2/2	0.0	0.0
SRR2034335.35169-1/2	0.0	0.0
SRR2034335.35169-2/2	1.0	0.0
SRR2034335.35271-1/2	0.0	0.0
SRR2034335.35271-2/2	1.0	0.0
SRR2034335.353421-1/2	1.0	0.0
SRR2034335.353421-2/2	1.0	0.0
SRR2034335.3553-1/2	1.0	0.0
SRR2034335.3553-2/2	1.0	0.0
SRR2034335.356155-1/2	1.0	0.0
SRR2034335.356155-2/2	0.0	0.0
SRR2034335.362167-1/2	0.0	0.0
SRR2034335.362167-2/2	1.0	0.0
SRR2034335.363156-1/2	1.0	0.0
SRR2034335.363156-2/2	0.0	0.0
SRR2034335.36328-1/2	1.0	0.0
SRR2034335.36328-2/2	0.0	0.0
SRR2034335.366157-1/2	1.0	0.0
SRR2034335.366157-2/2	1.0	0.0
SRR2034335.368296-1/2	1.0	0.0
SRR2034335.368296-2/2	1.0	0.0
SRR2034335.370356-1/2	0.0	0.0
SRR2034335.370356-2/2	1.0	0.0
SRR2034335.370874-1/2	1.0	0.0
SRR2034335.370874-2/2	1.0	0.0
SRR2034335.373898-1/2	1.0	0.0
SRR2034335.373898-2/2	1.0	0.0
SRR2034335.374714-1/2	0.0	0.0
SRR2034335.374714-2/2	0.0	0.0
SRR2034335.377496-1/2	1.0	0.0
SRR2034335.377496-2/2	1.0	0.0
