	nifS_8	nifS_9
SRR2034335.103389-1/2	0.0	0.0
SRR2034335.103389-2/2	0.0	0.0
SRR2034335.114720-1/2	1.0	0.0
SRR2034335.114720-2/2	1.0	0.0
SRR2034335.125117-1/2	0.0	0.0
SRR2034335.125117-2/2	1.0	0.0
SRR2034335.130075-1/2	0.0	0.0
SRR2034335.130075-2/2	0.0	0.0
SRR2034335.130183-1/2	0.0	0.0
SRR2034335.130183-2/2	0.0	0.0
SRR2034335.138750-1/2	0.0	0.0
SRR2034335.138750-2/2	1.0	0.0
SRR2034335.141181-1/2	0.0	0.0
SRR2034335.141181-2/2	1.0	0.0
SRR2034335.141616-1/2	0.0	0.0
SRR2034335.141616-2/2	0.0	0.0
SRR2034335.143807-1/2	1.0	0.0
SRR2034335.143807-2/2	1.0	0.0
SRR2034335.1488-1/2	1.0	0.0
SRR2034335.1488-2/2	2.0	1.0
SRR2034335.160708-1/2	0.0	0.0
SRR2034335.160708-2/2	1.0	0.0
SRR2034335.162048-1/2	0.0	0.0
SRR2034335.162048-2/2	0.0	0.0
SRR2034335.166054-1/2	0.0	0.0
SRR2034335.166054-2/2	1.0	1.0
SRR2034335.16641-1/2	0.0	1.0
SRR2034335.16641-2/2	0.0	0.0
SRR2034335.168875-1/2	1.0	1.0
SRR2034335.168875-2/2	2.0	0.0
SRR2034335.175570-1/2	0.0	0.0
SRR2034335.175570-2/2	0.0	0.0
SRR2034335.189224-1/2	0.0	0.0
SRR2034335.189224-2/2	1.0	0.0
SRR2034335.18954-1/2	0.0	0.0
SRR2034335.18954-2/2	0.0	0.0
SRR2034335.195379-1/2	0.0	0.0
SRR2034335.195379-2/2	2.0	0.0
SRR2034335.201141-1/2	1.0	0.0
SRR2034335.201141-2/2	1.0	0.0
SRR2034335.218991-1/2	0.0	0.0
SRR2034335.218991-2/2	0.0	0.0
SRR2034335.222920-1/2	0.0	0.0
SRR2034335.222920-2/2	1.0	0.0
SRR2034335.224417-1/2	0.0	0.0
SRR2034335.224417-2/2	1.0	0.0
SRR2034335.228841-1/2	1.0	1.0
SRR2034335.228841-2/2	2.0	0.0
SRR2034335.231007-1/2	0.0	0.0
SRR2034335.231007-2/2	0.0	0.0
SRR2034335.23105-1/2	0.0	0.0
SRR2034335.23105-2/2	1.0	0.0
SRR2034335.236345-1/2	1.0	0.0
SRR2034335.236345-2/2	1.0	0.0
SRR2034335.239032-1/2	0.0	1.0
SRR2034335.239032-2/2	0.0	0.0
SRR2034335.242597-1/2	0.0	0.0
SRR2034335.242597-2/2	0.0	0.0
SRR2034335.24757-1/2	1.0	0.0
SRR2034335.24757-2/2	1.0	0.0
SRR2034335.258868-1/2	0.0	0.0
SRR2034335.258868-2/2	1.0	0.0
SRR2034335.260414-1/2	0.0	0.0
SRR2034335.260414-2/2	0.0	0.0
SRR2034335.265192-1/2	0.0	0.0
SRR2034335.265192-2/2	0.0	0.0
SRR2034335.272670-1/2	1.0	0.0
SRR2034335.272670-2/2	1.0	0.0
SRR2034335.275508-1/2	1.0	0.0
SRR2034335.275508-2/2	1.0	0.0
SRR2034335.279401-1/2	1.0	0.0
SRR2034335.279401-2/2	1.0	0.0
SRR2034335.281242-1/2	0.0	0.0
SRR2034335.281242-2/2	1.0	0.0
SRR2034335.284853-1/2	0.0	0.0
SRR2034335.284853-2/2	0.0	0.0
SRR2034335.288086-1/2	0.0	0.0
SRR2034335.288086-2/2	1.0	0.0
SRR2034335.290295-1/2	1.0	0.0
SRR2034335.290295-2/2	1.0	0.0
