	pyrG_1
SRR2034335.10035-1/2	0.0
SRR2034335.10035-2/2	0.0
SRR2034335.105619-1/2	0.0
SRR2034335.105619-2/2	0.0
SRR2034335.108621-1/2	0.0
SRR2034335.108621-2/2	0.0
SRR2034335.111013-1/2	1.0
SRR2034335.111013-2/2	1.0
SRR2034335.111636-1/2	0.0
SRR2034335.111636-2/2	0.0
SRR2034335.113006-1/2	0.0
SRR2034335.113006-2/2	0.0
SRR2034335.116980-1/2	0.0
SRR2034335.116980-2/2	0.0
SRR2034335.117029-1/2	0.0
SRR2034335.117029-2/2	0.0
SRR2034335.117821-1/2	0.0
SRR2034335.117821-2/2	0.0
SRR2034335.124113-1/2	0.0
SRR2034335.124113-2/2	0.0
SRR2034335.125227-1/2	0.0
SRR2034335.125227-2/2	0.0
SRR2034335.136587-1/2	0.0
SRR2034335.136587-2/2	0.0
SRR2034335.136656-1/2	0.0
SRR2034335.136656-2/2	0.0
SRR2034335.138330-1/2	0.0
SRR2034335.138330-2/2	0.0
SRR2034335.142936-1/2	0.0
SRR2034335.142936-2/2	0.0
SRR2034335.145243-1/2	0.0
SRR2034335.145243-2/2	0.0
SRR2034335.14571-1/2	0.0
SRR2034335.14571-2/2	0.0
SRR2034335.149417-1/2	0.0
SRR2034335.149417-2/2	0.0
SRR2034335.15130-1/2	0.0
SRR2034335.15130-2/2	0.0
SRR2034335.15218-1/2	0.0
SRR2034335.15218-2/2	0.0
SRR2034335.15336-1/2	0.0
SRR2034335.15336-2/2	0.0
SRR2034335.154609-1/2	0.0
SRR2034335.154609-2/2	0.0
SRR2034335.156398-1/2	0.0
SRR2034335.156398-2/2	0.0
SRR2034335.157592-1/2	0.0
SRR2034335.157592-2/2	0.0
SRR2034335.157996-1/2	0.0
SRR2034335.157996-2/2	0.0
SRR2034335.159870-1/2	0.0
SRR2034335.159870-2/2	0.0
SRR2034335.161193-1/2	0.0
SRR2034335.161193-2/2	0.0
SRR2034335.172236-1/2	0.0
SRR2034335.172236-2/2	0.0
SRR2034335.172552-1/2	0.0
SRR2034335.172552-2/2	0.0
SRR2034335.173719-1/2	0.0
SRR2034335.173719-2/2	0.0
SRR2034335.177398-1/2	0.0
SRR2034335.177398-2/2	0.0
SRR2034335.180412-1/2	0.0
SRR2034335.180412-2/2	0.0
SRR2034335.183240-1/2	0.0
SRR2034335.183240-2/2	0.0
SRR2034335.188861-1/2	0.0
SRR2034335.188861-2/2	0.0
SRR2034335.192288-1/2	0.0
SRR2034335.192288-2/2	0.0
SRR2034335.194465-1/2	0.0
SRR2034335.194465-2/2	0.0
SRR2034335.195755-1/2	0.0
SRR2034335.195755-2/2	0.0
SRR2034335.199008-1/2	0.0
SRR2034335.199008-2/2	0.0
SRR2034335.203777-1/2	0.0
