	recG_15	recG_16
SRR2034335.295865-1/2	0.0	0.0
SRR2034335.295865-2/2	0.0	0.0
SRR2034335.307274-1/2	0.0	0.0
SRR2034335.307274-2/2	0.0	0.0
SRR2034335.307354-1/2	1.0	1.0
SRR2034335.307354-2/2	1.0	1.0
SRR2034335.310690-1/2	1.0	2.0
SRR2034335.310690-2/2	0.0	0.0
SRR2034335.311837-1/2	0.0	1.0
SRR2034335.311837-2/2	0.0	1.0
SRR2034335.312363-1/2	0.0	0.0
SRR2034335.312363-2/2	0.0	0.0
SRR2034335.31994-1/2	0.0	1.0
SRR2034335.31994-2/2	0.0	0.0
SRR2034335.32208-1/2	0.0	0.0
SRR2034335.32208-2/2	0.0	0.0
SRR2034335.328694-1/2	1.0	0.0
SRR2034335.328694-2/2	1.0	0.0
SRR2034335.330857-1/2	1.0	0.0
SRR2034335.330857-2/2	0.0	0.0
SRR2034335.331674-1/2	0.0	0.0
SRR2034335.331674-2/2	0.0	0.0
SRR2034335.335058-1/2	0.0	0.0
SRR2034335.335058-2/2	1.0	1.0
SRR2034335.337018-1/2	0.0	0.0
SRR2034335.337018-2/2	0.0	0.0
SRR2034335.33843-1/2	0.0	-1.0
SRR2034335.33843-2/2	2.0	-1.0
SRR2034335.341590-1/2	0.0	1.0
SRR2034335.341590-2/2	0.0	0.0
SRR2034335.341970-1/2	1.0	0.0
SRR2034335.341970-2/2	1.0	1.0
SRR2034335.343527-1/2	0.0	0.0
SRR2034335.343527-2/2	0.0	0.0
SRR2034335.344783-1/2	0.0	0.0
SRR2034335.344783-2/2	0.0	1.0
SRR2034335.345350-1/2	0.0	1.0
SRR2034335.345350-2/2	0.0	0.0
SRR2034335.347624-1/2	0.0	0.0
SRR2034335.347624-2/2	0.0	0.0
SRR2034335.349977-1/2	0.0	0.0
SRR2034335.349977-2/2	0.0	1.0
SRR2034335.350344-1/2	1.0	1.0
SRR2034335.350344-2/2	1.0	1.0
SRR2034335.350969-1/2	1.0	0.0
SRR2034335.350969-2/2	0.0	0.0
SRR2034335.355244-1/2	0.0	1.0
SRR2034335.355244-2/2	0.0	1.0
SRR2034335.356676-1/2	0.0	0.0
SRR2034335.356676-2/2	0.0	0.0
SRR2034335.360193-1/2	0.0	0.0
SRR2034335.360193-2/2	0.0	0.0
SRR2034335.363790-1/2	0.0	0.0
SRR2034335.363790-2/2	0.0	0.0
SRR2034335.365150-1/2	0.0	0.0
SRR2034335.365150-2/2	0.0	1.0
SRR2034335.368943-1/2	0.0	0.0
SRR2034335.368943-2/2	0.0	0.0
SRR2034335.375281-1/2	0.0	0.0
SRR2034335.375281-2/2	0.0	0.0
SRR2034335.376936-1/2	0.0	0.0
SRR2034335.376936-2/2	1.0	0.0
SRR2034335.379255-1/2	0.0	0.0
SRR2034335.379255-2/2	0.0	0.0
SRR2034335.379438-1/2	0.0	0.0
SRR2034335.379438-2/2	0.0	0.0
SRR2034335.381126-1/2	1.0	0.0
SRR2034335.381126-2/2	0.0	0.0
SRR2034335.38373-1/2	0.0	0.0
SRR2034335.38373-2/2	0.0	0.0
SRR2034335.385757-1/2	0.0	0.0
SRR2034335.385757-2/2	0.0	0.0
SRR2034335.388976-1/2	0.0	0.0
SRR2034335.388976-2/2	0.0	0.0
SRR2034335.391164-1/2	1.0	0.0
SRR2034335.391164-2/2	0.0	0.0
SRR2034335.39211-1/2	0.0	1.0
SRR2034335.39211-2/2	0.0	1.0
SRR2034335.393534-1/2	0.0	0.0
SRR2034335.393534-2/2	0.0	0.0
SRR2034335.397349-1/2	0.0	0.0
SRR2034335.397349-2/2	0.0	0.0
SRR2034335.397761-1/2	0.0	0.0
SRR2034335.397761-2/2	0.0	0.0
SRR2034335.398212-1/2	1.0	0.0
SRR2034335.398212-2/2	1.0	0.0
SRR2034335.4007-1/2	1.0	0.0
SRR2034335.4007-2/2	0.0	0.0
SRR2034335.406256-1/2	1.0	0.0
SRR2034335.406256-2/2	0.0	0.0
SRR2034335.40801-1/2	0.0	0.0
SRR2034335.40801-2/2	0.0	0.0
SRR2034335.410304-1/2	0.0	0.0
SRR2034335.410304-2/2	0.0	0.0
SRR2034335.411064-1/2	0.0	0.0
SRR2034335.411064-2/2	0.0	0.0
SRR2034335.411886-1/2	1.0	0.0
SRR2034335.411886-2/2	0.0	0.0
SRR2034335.412438-1/2	1.0	0.0
SRR2034335.412438-2/2	0.0	0.0
SRR2034335.414895-1/2	0.0	0.0
SRR2034335.414895-2/2	0.0	0.0
SRR2034335.416337-1/2	0.0	0.0
SRR2034335.416337-2/2	0.0	0.0
SRR2034335.417091-1/2	1.0	0.0
SRR2034335.417091-2/2	0.0	0.0
SRR2034335.421245-1/2	0.0	0.0
SRR2034335.421245-2/2	0.0	0.0
SRR2034335.427095-1/2	0.0	0.0
SRR2034335.427095-2/2	0.0	0.0
SRR2034335.431326-1/2	0.0	0.0
SRR2034335.431326-2/2	0.0	0.0
SRR2034335.43841-1/2	1.0	1.0
SRR2034335.43841-2/2	0.0	0.0
SRR2034335.439801-1/2	0.0	0.0
SRR2034335.439801-2/2	0.0	0.0
SRR2034335.440698-1/2	0.0	0.0
SRR2034335.440698-2/2	0.0	0.0
SRR2034335.444765-1/2	0.0	0.0
SRR2034335.444765-2/2	0.0	0.0
SRR2034335.45182-1/2	0.0	1.0
SRR2034335.45182-2/2	0.0	0.0
SRR2034335.454991-1/2	0.0	0.0
SRR2034335.454991-2/2	0.0	0.0
SRR2034335.455333-1/2	1.0	1.0
SRR2034335.455333-2/2	0.0	0.0
SRR2034335.459406-1/2	0.0	0.0
SRR2034335.459406-2/2	0.0	0.0
SRR2034335.463536-1/2	0.0	0.0
SRR2034335.463536-2/2	0.0	0.0
SRR2034335.465171-1/2	1.0	0.0
SRR2034335.465171-2/2	1.0	1.0
SRR2034335.465504-1/2	0.0	1.0
SRR2034335.465504-2/2	0.0	0.0
SRR2034335.46860-1/2	2.0	2.0
SRR2034335.46860-2/2	0.0	0.0
SRR2034335.469597-1/2	0.0	0.0
SRR2034335.469597-2/2	0.0	0.0
SRR2034335.471265-1/2	0.0	1.0
SRR2034335.471265-2/2	0.0	0.0
SRR2034335.472642-1/2	2.0	2.0
SRR2034335.472642-2/2	0.0	0.0
SRR2034335.47864-1/2	0.0	0.0
SRR2034335.47864-2/2	0.0	0.0
SRR2034335.479053-1/2	0.0	0.0
SRR2034335.479053-2/2	0.0	0.0
SRR2034335.484665-1/2	1.0	0.0
SRR2034335.484665-2/2	0.0	0.0
SRR2034335.488414-1/2	1.0	0.0
SRR2034335.488414-2/2	1.0	0.0
SRR2034335.488854-1/2	0.0	0.0
SRR2034335.488854-2/2	0.0	0.0
SRR2034335.492603-1/2	0.0	0.0
SRR2034335.492603-2/2	0.0	0.0
SRR2034335.492707-1/2	0.0	0.0
SRR2034335.492707-2/2	0.0	0.0
SRR2034335.495400-1/2	0.0	0.0
SRR2034335.495400-2/2	0.0	0.0
SRR2034335.499656-1/2	0.0	0.0
SRR2034335.499656-2/2	0.0	0.0
SRR2034335.499812-1/2	0.0	1.0
SRR2034335.499812-2/2	0.0	0.0
SRR2034335.508838-1/2	1.0	0.0
SRR2034335.508838-2/2	1.0	0.0
SRR2034335.513883-1/2	0.0	0.0
SRR2034335.513883-2/2	0.0	0.0
SRR2034335.514091-1/2	0.0	0.0
SRR2034335.514091-2/2	0.0	0.0
SRR2034335.515549-1/2	0.0	0.0
SRR2034335.515549-2/2	1.0	0.0
SRR2034335.520215-1/2	0.0	0.0
SRR2034335.520215-2/2	0.0	0.0
