,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,35,Existing,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,0.614
1,222,Existing,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,0.386
