	rplB_12	rplB_7
SRR2034334.10258-1/2	1.0	0.0
SRR2034334.10258-2/2	0.0	1.0
SRR2034334.108617-1/2	0.0	1.0
SRR2034334.108617-2/2	0.0	1.0
SRR2034334.108906-1/2	0.0	1.0
SRR2034334.108906-2/2	0.0	1.0
SRR2034334.114779-1/2	0.0	0.0
SRR2034334.114779-2/2	1.0	0.0
SRR2034334.115164-1/2	0.0	0.0
SRR2034334.115164-2/2	1.0	0.0
SRR2034334.11676-1/2	0.0	0.0
SRR2034334.11676-2/2	1.0	0.0
SRR2034334.12018-1/2	0.0	0.0
SRR2034334.12018-2/2	0.0	0.0
SRR2034334.120809-1/2	0.0	0.0
SRR2034334.120809-2/2	0.0	0.0
SRR2034334.121393-1/2	0.0	1.0
SRR2034334.121393-2/2	0.0	1.0
SRR2034334.127979-1/2	0.0	-1.0
SRR2034334.127979-2/2	0.0	-1.0
SRR2034334.13120-1/2	0.0	0.0
SRR2034334.13120-2/2	1.0	0.0
SRR2034334.132173-1/2	0.0	1.0
SRR2034334.132173-2/2	0.0	1.0
SRR2034334.135042-1/2	0.0	-1.0
SRR2034334.135042-2/2	0.0	-1.0
SRR2034334.135985-1/2	0.0	1.0
SRR2034334.135985-2/2	0.0	1.0
SRR2034334.142345-1/2	0.0	1.0
SRR2034334.142345-2/2	0.0	1.0
SRR2034334.147307-1/2	0.0	1.0
SRR2034334.147307-2/2	0.0	0.0
SRR2034334.152329-1/2	0.0	1.0
SRR2034334.152329-2/2	0.0	0.0
SRR2034334.153071-1/2	0.0	1.0
SRR2034334.153071-2/2	0.0	1.0
SRR2034334.153571-1/2	0.0	1.0
SRR2034334.153571-2/2	0.0	1.0
SRR2034334.154655-1/2	0.0	1.0
SRR2034334.154655-2/2	0.0	1.0
SRR2034334.1556-1/2	0.0	1.0
SRR2034334.1556-2/2	0.0	0.0
SRR2034334.158848-1/2	0.0	1.0
SRR2034334.158848-2/2	0.0	1.0
SRR2034334.159775-1/2	0.0	1.0
SRR2034334.159775-2/2	0.0	1.0
SRR2034334.15995-1/2	0.0	2.0
SRR2034334.15995-2/2	0.0	1.0
SRR2034334.168325-1/2	0.0	0.0
SRR2034334.168325-2/2	0.0	1.0
SRR2034334.168994-1/2	0.0	1.0
SRR2034334.168994-2/2	0.0	1.0
SRR2034334.169727-1/2	0.0	0.0
SRR2034334.169727-2/2	0.0	0.0
SRR2034334.171154-1/2	0.0	-1.0
SRR2034334.171154-2/2	0.0	-1.0
SRR2034334.173416-1/2	0.0	1.0
SRR2034334.173416-2/2	0.0	1.0
SRR2034334.179621-1/2	0.0	0.0
SRR2034334.179621-2/2	1.0	0.0
SRR2034334.186219-1/2	0.0	0.0
SRR2034334.186219-2/2	0.0	0.0
SRR2034334.189296-1/2	0.0	1.0
SRR2034334.189296-2/2	0.0	1.0
SRR2034334.192433-1/2	0.0	0.0
SRR2034334.192433-2/2	0.0	0.0
SRR2034334.195948-1/2	0.0	0.0
SRR2034334.195948-2/2	0.0	0.0
SRR2034334.20389-1/2	0.0	0.0
SRR2034334.20389-2/2	1.0	0.0
SRR2034334.206315-1/2	1.0	0.0
SRR2034334.206315-2/2	0.0	1.0
SRR2034334.208283-1/2	0.0	1.0
SRR2034334.208283-2/2	0.0	1.0
SRR2034334.216530-1/2	0.0	-1.0
SRR2034334.216530-2/2	0.0	-1.0
SRR2034334.216718-1/2	0.0	1.0
SRR2034334.216718-2/2	0.0	1.0
SRR2034334.220628-1/2	0.0	1.0
SRR2034334.220628-2/2	0.0	0.0
SRR2034334.222047-1/2	1.0	0.0
SRR2034334.222047-2/2	0.0	1.0
SRR2034334.227064-1/2	1.0	0.0
SRR2034334.227064-2/2	1.0	2.0
SRR2034334.231425-1/2	0.0	1.0
SRR2034334.231425-2/2	0.0	1.0
SRR2034334.244067-1/2	0.0	1.0
SRR2034334.244067-2/2	0.0	1.0
SRR2034334.245482-1/2	0.0	-1.0
SRR2034334.245482-2/2	0.0	-1.0
SRR2034334.245559-1/2	0.0	0.0
SRR2034334.245559-2/2	1.0	0.0
SRR2034334.247304-1/2	1.0	0.0
SRR2034334.247304-2/2	0.0	0.0
SRR2034334.248039-1/2	0.0	-1.0
SRR2034334.248039-2/2	0.0	-1.0
SRR2034334.248128-1/2	0.0	0.0
SRR2034334.248128-2/2	0.0	1.0
SRR2034334.24820-1/2	0.0	0.0
SRR2034334.24820-2/2	0.0	1.0
SRR2034334.250329-1/2	0.0	0.0
SRR2034334.250329-2/2	0.0	0.0
SRR2034334.251646-1/2	0.0	1.0
SRR2034334.251646-2/2	0.0	1.0
SRR2034334.257779-1/2	1.0	2.0
SRR2034334.257779-2/2	0.0	0.0
SRR2034334.259713-1/2	0.0	1.0
SRR2034334.259713-2/2	0.0	1.0
SRR2034334.263084-1/2	1.0	0.0
SRR2034334.263084-2/2	0.0	1.0
SRR2034334.2641-1/2	0.0	0.0
SRR2034334.2641-2/2	0.0	1.0
SRR2034334.267269-1/2	1.0	0.0
SRR2034334.267269-2/2	0.0	1.0
SRR2034334.269316-1/2	0.0	1.0
SRR2034334.269316-2/2	0.0	1.0
SRR2034334.272882-1/2	0.0	0.0
SRR2034334.272882-2/2	0.0	1.0
SRR2034334.274345-1/2	0.0	0.0
SRR2034334.274345-2/2	1.0	0.0
SRR2034334.27608-1/2	0.0	1.0
SRR2034334.27608-2/2	0.0	0.0
SRR2034334.276733-1/2	0.0	1.0
SRR2034334.276733-2/2	0.0	1.0
SRR2034334.278185-1/2	0.0	0.0
SRR2034334.278185-2/2	0.0	1.0
SRR2034334.278312-1/2	0.0	1.0
SRR2034334.278312-2/2	0.0	1.0
SRR2034334.285923-1/2	0.0	0.0
SRR2034334.285923-2/2	0.0	1.0
SRR2034334.286462-1/2	0.0	0.0
SRR2034334.286462-2/2	0.0	1.0
SRR2034334.286584-1/2	0.0	0.0
SRR2034334.286584-2/2	1.0	0.0
