	pepX_1
SRR2034334.104030-1/2	0.0
SRR2034334.104030-2/2	0.0
SRR2034334.104584-1/2	0.0
SRR2034334.104584-2/2	0.0
SRR2034334.104699-1/2	0.0
SRR2034334.104699-2/2	0.0
SRR2034334.105675-1/2	0.0
SRR2034334.105675-2/2	0.0
SRR2034334.108135-1/2	0.0
SRR2034334.108135-2/2	0.0
SRR2034334.122954-1/2	0.0
SRR2034334.122954-2/2	0.0
SRR2034334.123054-1/2	0.0
SRR2034334.123054-2/2	0.0
SRR2034334.132834-1/2	0.0
SRR2034334.132834-2/2	0.0
SRR2034334.135913-1/2	0.0
SRR2034334.135913-2/2	0.0
SRR2034334.150534-1/2	0.0
SRR2034334.150534-2/2	0.0
SRR2034334.152342-1/2	0.0
SRR2034334.152342-2/2	0.0
SRR2034334.156566-1/2	0.0
SRR2034334.156566-2/2	0.0
SRR2034334.158452-1/2	0.0
SRR2034334.158452-2/2	0.0
SRR2034334.160560-1/2	0.0
SRR2034334.160560-2/2	0.0
SRR2034334.162587-1/2	0.0
SRR2034334.162587-2/2	0.0
SRR2034334.164199-1/2	0.0
SRR2034334.164199-2/2	0.0
SRR2034334.168861-1/2	0.0
SRR2034334.168861-2/2	0.0
SRR2034334.169463-1/2	0.0
SRR2034334.169463-2/2	0.0
SRR2034334.170778-1/2	0.0
SRR2034334.170778-2/2	0.0
SRR2034334.18237-1/2	0.0
SRR2034334.18237-2/2	0.0
SRR2034334.185841-1/2	0.0
SRR2034334.185841-2/2	0.0
SRR2034334.186291-1/2	0.0
SRR2034334.186291-2/2	0.0
SRR2034334.193149-1/2	0.0
SRR2034334.193149-2/2	0.0
SRR2034334.195283-1/2	0.0
SRR2034334.195283-2/2	0.0
SRR2034334.200388-1/2	0.0
SRR2034334.200388-2/2	0.0
SRR2034334.20099-1/2	0.0
SRR2034334.20099-2/2	0.0
SRR2034334.201650-1/2	0.0
SRR2034334.201650-2/2	0.0
SRR2034334.204974-1/2	0.0
SRR2034334.204974-2/2	0.0
SRR2034334.205112-1/2	0.0
SRR2034334.205112-2/2	0.0
SRR2034334.205183-1/2	0.0
SRR2034334.205183-2/2	0.0
SRR2034334.205455-1/2	0.0
SRR2034334.205455-2/2	0.0
SRR2034334.2071-1/2	0.0
SRR2034334.2071-2/2	0.0
SRR2034334.211169-1/2	0.0
SRR2034334.211169-2/2	0.0
SRR2034334.2205-1/2	0.0
SRR2034334.2205-2/2	0.0
SRR2034334.223439-1/2	0.0
SRR2034334.223439-2/2	0.0
SRR2034334.224418-1/2	0.0
SRR2034334.224418-2/2	0.0
SRR2034334.226880-1/2	0.0
SRR2034334.226880-2/2	0.0
SRR2034334.227131-1/2	0.0
SRR2034334.227131-2/2	0.0
SRR2034334.236149-1/2	0.0
SRR2034334.236149-2/2	0.0
SRR2034334.237531-1/2	0.0
SRR2034334.237531-2/2	0.0
SRR2034334.23850-1/2	0.0
SRR2034334.23850-2/2	0.0
SRR2034334.245877-1/2	0.0
SRR2034334.245877-2/2	0.0
SRR2034334.247476-1/2	0.0
SRR2034334.247476-2/2	0.0
SRR2034334.25806-1/2	0.0
SRR2034334.25806-2/2	0.0
SRR2034334.261161-1/2	0.0
SRR2034334.261161-2/2	0.0
SRR2034334.26276-1/2	0.0
SRR2034334.26276-2/2	0.0
SRR2034334.269867-1/2	0.0
SRR2034334.269867-2/2	0.0
SRR2034334.281769-1/2	0.0
SRR2034334.281769-2/2	0.0
SRR2034334.281788-1/2	0.0
SRR2034334.281788-2/2	0.0
SRR2034334.282072-1/2	0.0
SRR2034334.282072-2/2	0.0
SRR2034334.283939-1/2	0.0
SRR2034334.283939-2/2	0.0
SRR2034334.284945-1/2	0.0
SRR2034334.284945-2/2	0.0
SRR2034334.288748-1/2	0.0
SRR2034334.288748-2/2	0.0
SRR2034334.298141-1/2	0.0
SRR2034334.298141-2/2	0.0
SRR2034334.305663-1/2	0.0
SRR2034334.305663-2/2	0.0
SRR2034334.307403-1/2	0.0
SRR2034334.307403-2/2	0.0
SRR2034334.308757-1/2	0.0
SRR2034334.308757-2/2	0.0
SRR2034334.308999-1/2	0.0
SRR2034334.308999-2/2	0.0
SRR2034334.314435-1/2	0.0
SRR2034334.314435-2/2	0.0
SRR2034334.314825-1/2	0.0
SRR2034334.314825-2/2	0.0
SRR2034334.316067-1/2	0.0
SRR2034334.316067-2/2	0.0
SRR2034334.324692-1/2	0.0
SRR2034334.324692-2/2	0.0
SRR2034334.327745-1/2	0.0
SRR2034334.327745-2/2	0.0
SRR2034334.329155-1/2	0.0
SRR2034334.329155-2/2	0.0
SRR2034334.329533-1/2	0.0
SRR2034334.329533-2/2	0.0
SRR2034334.330867-1/2	0.0
SRR2034334.330867-2/2	0.0
SRR2034334.332109-1/2	0.0
SRR2034334.332109-2/2	1.0
SRR2034334.332736-1/2	0.0
SRR2034334.332736-2/2	0.0
SRR2034334.33832-1/2	0.0
SRR2034334.33832-2/2	0.0
SRR2034334.340378-1/2	0.0
SRR2034334.340378-2/2	0.0
SRR2034334.340912-1/2	0.0
SRR2034334.340912-2/2	0.0
SRR2034334.341051-1/2	0.0
SRR2034334.341051-2/2	0.0
SRR2034334.342426-1/2	1.0
SRR2034334.342426-2/2	0.0
SRR2034334.343787-1/2	0.0
