	pyrG_168
SRR2034334.421720-2/2	0.0
SRR2034334.429524-1/2	0.0
SRR2034334.429524-2/2	0.0
SRR2034334.429687-1/2	0.0
SRR2034334.429687-2/2	0.0
SRR2034334.429952-1/2	0.0
SRR2034334.429952-2/2	0.0
SRR2034334.448256-1/2	0.0
SRR2034334.448256-2/2	0.0
SRR2034334.453428-1/2	0.0
SRR2034334.453428-2/2	0.0
SRR2034334.45408-1/2	0.0
SRR2034334.45408-2/2	0.0
SRR2034334.457925-1/2	0.0
SRR2034334.457925-2/2	0.0
SRR2034334.461316-1/2	0.0
SRR2034334.461316-2/2	0.0
SRR2034334.469435-1/2	0.0
SRR2034334.469435-2/2	0.0
SRR2034334.470612-1/2	0.0
SRR2034334.470612-2/2	0.0
SRR2034334.471628-1/2	0.0
SRR2034334.471628-2/2	0.0
SRR2034334.475597-1/2	0.0
SRR2034334.475597-2/2	0.0
SRR2034334.475787-1/2	0.0
SRR2034334.475787-2/2	0.0
SRR2034334.478755-1/2	0.0
SRR2034334.478755-2/2	0.0
SRR2034334.483229-1/2	0.0
SRR2034334.483229-2/2	0.0
SRR2034334.484257-1/2	0.0
SRR2034334.484257-2/2	0.0
SRR2034334.485094-1/2	0.0
SRR2034334.485094-2/2	0.0
SRR2034334.486675-1/2	1.0
SRR2034334.486675-2/2	0.0
SRR2034334.486985-1/2	0.0
SRR2034334.486985-2/2	0.0
SRR2034334.48827-1/2	0.0
SRR2034334.48827-2/2	0.0
SRR2034334.49750-1/2	0.0
SRR2034334.49750-2/2	0.0
SRR2034334.499796-1/2	0.0
SRR2034334.499796-2/2	0.0
SRR2034334.501295-1/2	0.0
SRR2034334.501295-2/2	0.0
SRR2034334.506734-1/2	0.0
SRR2034334.506734-2/2	0.0
SRR2034334.514037-1/2	0.0
SRR2034334.514037-2/2	0.0
SRR2034334.515116-1/2	0.0
SRR2034334.515116-2/2	0.0
SRR2034334.518267-1/2	0.0
SRR2034334.518267-2/2	0.0
SRR2034334.533372-1/2	0.0
SRR2034334.533372-2/2	0.0
SRR2034334.536192-1/2	0.0
SRR2034334.536192-2/2	0.0
SRR2034334.540288-1/2	0.0
SRR2034334.540288-2/2	0.0
SRR2034334.541650-1/2	0.0
SRR2034334.541650-2/2	0.0
SRR2034334.553794-1/2	0.0
SRR2034334.553794-2/2	0.0
SRR2034334.555381-1/2	0.0
SRR2034334.555381-2/2	0.0
SRR2034334.556833-1/2	0.0
SRR2034334.556833-2/2	0.0
SRR2034334.556901-1/2	0.0
SRR2034334.556901-2/2	0.0
SRR2034334.562116-1/2	0.0
SRR2034334.562116-2/2	0.0
SRR2034334.56360-1/2	0.0
SRR2034334.56360-2/2	0.0
SRR2034334.567932-1/2	0.0
SRR2034334.567932-2/2	0.0
SRR2034334.573911-1/2	0.0
SRR2034334.573911-2/2	0.0
SRR2034334.575568-1/2	0.0
SRR2034334.575568-2/2	0.0
SRR2034334.581931-1/2	0.0
SRR2034334.581931-2/2	0.0
SRR2034334.582529-1/2	0.0
SRR2034334.582529-2/2	0.0
SRR2034334.583136-1/2	0.0
SRR2034334.583136-2/2	1.0
SRR2034334.586516-1/2	0.0
SRR2034334.586516-2/2	0.0
SRR2034334.590336-1/2	0.0
SRR2034334.590336-2/2	0.0
SRR2034334.591482-1/2	0.0
SRR2034334.591482-2/2	0.0
SRR2034334.592152-1/2	0.0
SRR2034334.592152-2/2	0.0
SRR2034334.595249-1/2	0.0
SRR2034334.595249-2/2	0.0
SRR2034334.597201-1/2	0.0
SRR2034334.597201-2/2	0.0
SRR2034334.598056-1/2	0.0
SRR2034334.598056-2/2	0.0
