	recG_13	recG_15	recG_16
SRR2034334.780231-1/2	-1.0	1.0	0.0
SRR2034334.780231-2/2	-1.0	0.0	0.0
SRR2034334.780866-1/2	0.0	0.0	0.0
SRR2034334.780866-2/2	0.0	0.0	0.0
SRR2034334.785351-1/2	1.0	0.0	0.0
SRR2034334.785351-2/2	1.0	0.0	0.0
SRR2034334.788152-1/2	1.0	0.0	0.0
SRR2034334.788152-2/2	0.0	0.0	0.0
SRR2034334.793413-1/2	0.0	0.0	0.0
SRR2034334.793413-2/2	0.0	0.0	0.0
SRR2034334.797969-1/2	1.0	0.0	0.0
SRR2034334.797969-2/2	1.0	0.0	0.0
SRR2034334.803076-1/2	0.0	0.0	0.0
SRR2034334.803076-2/2	1.0	0.0	1.0
SRR2034334.804435-1/2	0.0	0.0	1.0
SRR2034334.804435-2/2	1.0	0.0	0.0
SRR2034334.818470-1/2	1.0	0.0	0.0
SRR2034334.818470-2/2	2.0	1.0	0.0
SRR2034334.818937-1/2	1.0	0.0	0.0
SRR2034334.818937-2/2	0.0	0.0	0.0
SRR2034334.820226-1/2	0.0	0.0	0.0
SRR2034334.820226-2/2	1.0	0.0	0.0
SRR2034334.821093-1/2	1.0	0.0	0.0
SRR2034334.821093-2/2	1.0	0.0	0.0
SRR2034334.823552-1/2	1.0	0.0	0.0
SRR2034334.823552-2/2	1.0	0.0	0.0
SRR2034334.824744-1/2	0.0	0.0	0.0
SRR2034334.824744-2/2	0.0	0.0	0.0
SRR2034334.835060-1/2	-1.0	1.0	0.0
SRR2034334.835060-2/2	-1.0	0.0	0.0
SRR2034334.8353-1/2	0.0	0.0	1.0
SRR2034334.8353-2/2	1.0	0.0	0.0
SRR2034334.83675-1/2	-1.0	0.0	1.0
SRR2034334.83675-2/2	-1.0	0.0	0.0
SRR2034334.84382-1/2	1.0	1.0	1.0
SRR2034334.84382-2/2	0.0	0.0	0.0
SRR2034334.845921-1/2	0.0	0.0	0.0
SRR2034334.845921-2/2	0.0	0.0	0.0
SRR2034334.846028-1/2	0.0	0.0	0.0
SRR2034334.846028-2/2	0.0	0.0	0.0
SRR2034334.850696-1/2	0.0	0.0	0.0
SRR2034334.850696-2/2	2.0	0.0	1.0
SRR2034334.8563-1/2	-1.0	1.0	0.0
SRR2034334.8563-2/2	-1.0	0.0	0.0
SRR2034334.858284-1/2	0.0	0.0	0.0
SRR2034334.858284-2/2	0.0	0.0	0.0
SRR2034334.858493-1/2	1.0	0.0	0.0
SRR2034334.858493-2/2	0.0	0.0	0.0
SRR2034334.860710-1/2	1.0	0.0	0.0
SRR2034334.860710-2/2	1.0	0.0	0.0
SRR2034334.865440-1/2	1.0	0.0	0.0
SRR2034334.865440-2/2	0.0	0.0	0.0
SRR2034334.875983-1/2	1.0	0.0	0.0
SRR2034334.875983-2/2	2.0	1.0	0.0
SRR2034334.878246-1/2	0.0	0.0	0.0
SRR2034334.878246-2/2	1.0	1.0	1.0
SRR2034334.880755-1/2	0.0	0.0	0.0
SRR2034334.880755-2/2	0.0	0.0	0.0
SRR2034334.886131-1/2	-1.0	0.0	1.0
SRR2034334.886131-2/2	-1.0	0.0	1.0
SRR2034334.88806-1/2	0.0	0.0	0.0
SRR2034334.88806-2/2	1.0	0.0	1.0
SRR2034334.888921-1/2	2.0	0.0	1.0
SRR2034334.888921-2/2	2.0	0.0	1.0
SRR2034334.896594-1/2	-1.0	1.0	0.0
SRR2034334.896594-2/2	-1.0	0.0	0.0
SRR2034334.901090-1/2	0.0	0.0	0.0
SRR2034334.901090-2/2	1.0	0.0	0.0
SRR2034334.901887-1/2	1.0	1.0	0.0
SRR2034334.901887-2/2	0.0	0.0	0.0
SRR2034334.902292-1/2	2.0	1.0	0.0
SRR2034334.902292-2/2	1.0	0.0	0.0
SRR2034334.905875-1/2	-1.0	0.0	1.0
SRR2034334.905875-2/2	-1.0	0.0	0.0
SRR2034334.909173-1/2	-1.0	1.0	0.0
SRR2034334.909173-2/2	-1.0	0.0	0.0
SRR2034334.909616-1/2	0.0	0.0	0.0
SRR2034334.909616-2/2	1.0	0.0	0.0
SRR2034334.911433-1/2	0.0	0.0	0.0
SRR2034334.911433-2/2	0.0	0.0	0.0
SRR2034334.911508-1/2	0.0	0.0	0.0
SRR2034334.911508-2/2	0.0	0.0	0.0
SRR2034334.915013-1/2	-1.0	0.0	0.0
SRR2034334.915013-2/2	-1.0	0.0	1.0
SRR2034334.919865-1/2	-1.0	0.0	1.0
SRR2034334.919865-2/2	-1.0	0.0	1.0
SRR2034334.921685-1/2	-1.0	1.0	2.0
SRR2034334.921685-2/2	-1.0	0.0	0.0
SRR2034334.922141-1/2	1.0	0.0	0.0
SRR2034334.922141-2/2	1.0	0.0	0.0
SRR2034334.928930-1/2	1.0	0.0	0.0
SRR2034334.928930-2/2	1.0	0.0	0.0
SRR2034334.92963-1/2	0.0	0.0	0.0
SRR2034334.92963-2/2	1.0	0.0	0.0
SRR2034334.93180-1/2	0.0	0.0	0.0
SRR2034334.93180-2/2	0.0	0.0	0.0
SRR2034334.933769-1/2	-1.0	1.0	0.0
SRR2034334.933769-2/2	-1.0	0.0	0.0
SRR2034334.936722-1/2	1.0	0.0	0.0
SRR2034334.936722-2/2	0.0	0.0	0.0
SRR2034334.939656-1/2	-1.0	0.0	0.0
SRR2034334.939656-2/2	-1.0	1.0	0.0
SRR2034334.940707-1/2	0.0	0.0	0.0
SRR2034334.940707-2/2	1.0	0.0	1.0
SRR2034334.941902-1/2	1.0	0.0	0.0
SRR2034334.941902-2/2	0.0	0.0	0.0
SRR2034334.96309-1/2	0.0	0.0	0.0
SRR2034334.96309-2/2	0.0	0.0	0.0
SRR2034334.96782-1/2	-1.0	1.0	0.0
SRR2034334.96782-2/2	-1.0	0.0	0.0
SRR2034334.96878-1/2	1.0	0.0	0.0
SRR2034334.96878-2/2	0.0	0.0	0.0
