	nifS_1	nifS_113
SRR2034334.632892-1/2	0.0	0.0
SRR2034334.632892-2/2	1.0	0.0
SRR2034334.634465-1/2	0.0	0.0
SRR2034334.634465-2/2	0.0	0.0
SRR2034334.637408-1/2	0.0	0.0
SRR2034334.637408-2/2	1.0	0.0
SRR2034334.645962-1/2	0.0	0.0
SRR2034334.645962-2/2	0.0	0.0
SRR2034334.646449-1/2	0.0	1.0
SRR2034334.646449-2/2	0.0	0.0
SRR2034334.64908-1/2	0.0	1.0
SRR2034334.64908-2/2	0.0	1.0
SRR2034334.650903-1/2	0.0	0.0
SRR2034334.650903-2/2	1.0	0.0
SRR2034334.670009-1/2	0.0	0.0
SRR2034334.670009-2/2	0.0	0.0
SRR2034334.671037-1/2	0.0	0.0
SRR2034334.671037-2/2	0.0	0.0
SRR2034334.671800-1/2	0.0	0.0
SRR2034334.671800-2/2	0.0	0.0
SRR2034334.67188-1/2	0.0	0.0
SRR2034334.67188-2/2	1.0	0.0
SRR2034334.672041-1/2	0.0	0.0
SRR2034334.672041-2/2	0.0	0.0
SRR2034334.689053-1/2	0.0	0.0
SRR2034334.689053-2/2	0.0	1.0
SRR2034334.694079-1/2	1.0	0.0
SRR2034334.694079-2/2	0.0	1.0
SRR2034334.694706-1/2	0.0	1.0
SRR2034334.694706-2/2	0.0	1.0
SRR2034334.697144-1/2	0.0	0.0
SRR2034334.697144-2/2	1.0	0.0
SRR2034334.704985-1/2	0.0	1.0
SRR2034334.704985-2/2	0.0	0.0
SRR2034334.712822-1/2	0.0	0.0
SRR2034334.712822-2/2	1.0	0.0
SRR2034334.722223-1/2	0.0	0.0
SRR2034334.722223-2/2	1.0	0.0
SRR2034334.733102-1/2	0.0	0.0
SRR2034334.733102-2/2	0.0	1.0
SRR2034334.735990-1/2	0.0	0.0
SRR2034334.735990-2/2	0.0	1.0
SRR2034334.747359-1/2	1.0	0.0
SRR2034334.747359-2/2	0.0	1.0
SRR2034334.760577-1/2	0.0	0.0
SRR2034334.760577-2/2	0.0	0.0
SRR2034334.761127-1/2	0.0	1.0
SRR2034334.761127-2/2	0.0	0.0
SRR2034334.764310-1/2	1.0	0.0
SRR2034334.764310-2/2	0.0	1.0
SRR2034334.768197-1/2	0.0	1.0
SRR2034334.768197-2/2	0.0	0.0
SRR2034334.769547-1/2	1.0	0.0
SRR2034334.769547-2/2	1.0	0.0
SRR2034334.772429-1/2	0.0	0.0
SRR2034334.772429-2/2	1.0	0.0
SRR2034334.779384-1/2	0.0	0.0
SRR2034334.779384-2/2	0.0	1.0
SRR2034334.780197-1/2	0.0	0.0
SRR2034334.780197-2/2	0.0	0.0
SRR2034334.795446-1/2	0.0	0.0
SRR2034334.795446-2/2	0.0	1.0
SRR2034334.799581-1/2	0.0	0.0
SRR2034334.799581-2/2	1.0	0.0
SRR2034334.800406-1/2	0.0	1.0
