,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_6,clpX_5,nifS_4,pepX_6,pyrG_106,recG_113,rplB_1,uvrA_6,New
1,2,clpA_6,clpX_5,nifS_4,pepX_6,pyrG_106,recG_6,rplB_1,uvrA_6,New
2,3,clpA_6,clpX_5,nifS_4,pepX_6,pyrG_1,recG_113,rplB_1,uvrA_6,New
3,4,clpA_6,clpX_5,nifS_4,pepX_6,pyrG_1,recG_6,rplB_1,uvrA_6,Existing
4,5,clpA_6,clpX_5,nifS_4,pepX_30,pyrG_106,recG_113,rplB_1,uvrA_6,New
5,6,clpA_6,clpX_5,nifS_4,pepX_30,pyrG_106,recG_6,rplB_1,uvrA_6,New
6,7,clpA_6,clpX_5,nifS_4,pepX_30,pyrG_1,recG_113,rplB_1,uvrA_6,New
7,8,clpA_6,clpX_5,nifS_4,pepX_30,pyrG_1,recG_6,rplB_1,uvrA_6,New
