,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
50,51,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
51,52,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
52,53,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
53,54,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
54,55,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
55,56,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
56,57,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
57,58,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
58,59,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
59,60,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
60,61,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
61,62,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
62,63,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
63,64,clpA_192,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
64,65,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
65,66,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
66,67,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
67,68,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
68,69,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
69,70,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
70,71,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
71,72,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
72,73,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,New
73,74,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
74,75,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
75,76,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
76,77,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
77,78,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
78,79,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
