,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,618,Existing,clpA_211,clpX_178,nifS_78,pepX_96,pyrG_81,recG_202,rplB_106,uvrA_87,0.096
1,3170,Existing,clpA_205,clpX_135,nifS_23,pepX_181,pyrG_44,recG_155,rplB_23,uvrA_142,0.433
2,6055,Existing,clpA_8,clpX_1,nifS_9,pepX_8,pyrG_1,recG_18,rplB_4,uvrA_125,0.471
