,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
50,51,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_29,New
51,52,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_288,New
52,53,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_28,New
53,54,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_29,New
54,55,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_288,New
55,56,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_28,New
56,57,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_29,New
57,58,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_288,New
58,59,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_28,New
59,60,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_29,New
60,61,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_288,New
61,62,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_28,New
62,63,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_29,New
63,64,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_288,New
64,65,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_28,New
65,66,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_29,New
66,67,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_288,New
67,68,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_28,New
68,69,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_29,New
69,70,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_288,New
70,71,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_28,New
71,72,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_29,New
72,73,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_288,New
73,74,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_28,New
74,75,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_29,New
75,76,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_288,New
76,77,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_28,New
77,78,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_29,New
78,79,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_288,New
79,80,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_28,New
80,81,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_29,New
81,82,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_288,New
82,83,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_28,New
83,84,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_29,New
84,85,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_288,New
85,86,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_28,New
86,87,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_29,New
87,88,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_288,New
88,89,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_28,New
89,90,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_29,New
90,91,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_288,New
91,92,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_28,New
92,93,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_29,New
93,94,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_288,New
94,95,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_28,New
95,96,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_29,New
96,97,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_288,New
97,98,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_28,New
98,99,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_29,New
99,100,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_288,New
100,101,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_28,New
101,102,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_29,New
102,103,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_288,New
103,104,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_28,New
