,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,5390,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.246
1,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.351
2,5559,New,clpA_9,clpX_119,nifS_1,pepX_7,pyrG_1,recG_6,rplB_1,uvrA_10,0.38
3,5631,Existing,clpA_9,clpX_1,nifS_1,pepX_7,pyrG_1,recG_6,rplB_1,uvrA_10,0.023
