,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,1582,New,clpA_4,clpX_119,nifS_1,pepX_95,pyrG_139,recG_6,rplB_3,uvrA_7,0.184
1,1875,New,clpA_4,clpX_119,nifS_14,pepX_95,pyrG_139,recG_6,rplB_8,uvrA_124,0.134
2,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.571
3,4095,New,clpA_4,clpX_11,nifS_14,pepX_139,pyrG_138,recG_137,rplB_8,uvrA_122,0.111
