,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,5855,New,clpA_8,clpX_1,nifS_15,pepX_94,pyrG_2,recG_18,rplB_1,uvrA_7,0.287
1,5856,Existing,clpA_8,clpX_1,nifS_15,pepX_94,pyrG_2,recG_20,rplB_1,uvrA_7,0.713
