,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,5099,New,clpA_6,clpX_78,nifS_113,pepX_1,pyrG_113,recG_7,rplB_1,uvrA_8,0.228
1,5114,New,clpA_6,clpX_78,nifS_114,pepX_1,pyrG_139,recG_16,rplB_1,uvrA_8,0.31
2,5127,New,clpA_6,clpX_119,nifS_5,pepX_1,pyrG_6,recG_7,rplB_1,uvrA_8,0.462
