,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,12310,Existing,clpA_7,clpX_6,nifS_12,pepX_1,pyrG_1,recG_5,rplB_5,uvrA_5,0.714
1,12316,New,clpA_15,clpX_6,nifS_12,pepX_1,pyrG_1,recG_1,rplB_5,uvrA_5,0.286000001
