,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion,Sample
67,12609,New,clpA_7,clpX_6,nifS_14,pepX_1,pyrG_1,recG_5,rplB_8,uvrA_5,0.3,SRR2034358
68,12646,New,clpA_7,clpX_2,nifS_1,pepX_117,pyrG_1,recG_5,rplB_3,uvrA_7,0.183,SRR2034358
69,12728,New,clpA_7,clpX_2,nifS_1,pepX_1,pyrG_1,recG_21,rplB_2,uvrA_19,0.113,SRR2034358
70,13131,New,clpA_4,clpX_6,nifS_14,pepX_13,pyrG_1,recG_5,rplB_2,uvrA_104,0.139,SRR2034358
71,14505,New,clpA_6,clpX_119,nifS_5,pepX_95,pyrG_164,recG_18,rplB_1,uvrA_1,0.085,SRR2034359
72,14722,New,clpA_6,clpX_1,nifS_1,pepX_20,pyrG_4,recG_6,rplB_1,uvrA_19,0.212,SRR2034359
73,16359,New,clpA_22,clpX_1,nifS_5,pepX_8,pyrG_4,recG_7,rplB_11,uvrA_7,0.293,SRR2034359
74,16483,New,clpA_8,clpX_119,nifS_1,pepX_14,pyrG_164,recG_18,rplB_1,uvrA_10,0.28,SRR2034359
75,17609,New,clpA_8,clpX_1,nifS_5,pepX_9,pyrG_4,recG_6,rplB_11,uvrA_7,0.13,SRR2034359
77,17652,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_1,0.13,SRR2034356
78,4812,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_18,rplB_1,uvrA_7,0.334,SRR2034357
80,17652,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_1,0.003,SRR2034357
84,17833,New,clpA_21,clpX_1,nifS_15,pepX_8,pyrG_1,recG_1,rplB_2,uvrA_124,0.222,SRR2034357
86,17896,New,clpA_21,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.251,SRR2034360
88,17652,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_1,0.00199999999999,SRR2034361
90,22,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.233,SRR2034361
91,18110,New,clpA_11,clpX_11,nifS_12,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1,0.177,SRR2034361
