,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,1,New,clpA_6,clpX_1,nifS_167,pepX_1,pyrG_3,recG_7,rplB_1,uvrA_19,0.127
1,4,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.873
