,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_116,clpX_42,nifS_38,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
1,2,clpA_116,clpX_42,nifS_38,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
2,3,clpA_116,clpX_42,nifS_23,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
3,4,clpA_116,clpX_42,nifS_23,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
4,5,clpA_116,clpX_24,nifS_38,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
5,6,clpA_116,clpX_24,nifS_38,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
6,7,clpA_116,clpX_24,nifS_23,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
7,8,clpA_116,clpX_24,nifS_23,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
8,9,clpA_36,clpX_42,nifS_38,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
9,10,clpA_36,clpX_42,nifS_38,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
10,11,clpA_36,clpX_42,nifS_23,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
11,12,clpA_36,clpX_42,nifS_23,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
12,13,clpA_36,clpX_24,nifS_38,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,New
13,14,clpA_36,clpX_24,nifS_38,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
14,15,clpA_36,clpX_24,nifS_23,pepX_31,pyrG_23,recG_30,rplB_23,uvrA_30,Existing
15,16,clpA_36,clpX_24,nifS_23,pepX_31,pyrG_23,recG_119,rplB_23,uvrA_30,New
