,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,4,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_8,10.274
1,15,New,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_7,5.361
2,16,New,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_8,1.259
3,18,New,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_8,4.55
4,24,New,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_16,rplB_12,uvrA_8,31.023
5,33,New,clpA_11,clpX_12,nifS_1,pepX_1,pyrG_168,recG_15,rplB_7,uvrA_7,39.44
6,48,New,clpA_11,clpX_12,nifS_113,pepX_1,pyrG_168,recG_16,rplB_12,uvrA_8,8.093
