,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,58,New,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,0.587
1,62,New,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_8,50.028
2,66,New,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_8,2.401
3,90,New,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,1.101
4,103,New,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_7,43.379
5,105,New,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_7,0.385
6,106,New,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,2.119
