,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,1,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_168,recG_6,rplB_94,uvrA_7,56.638
1,2,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_168,recG_6,rplB_94,uvrA_8,43.362
