,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
50,51,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_7,New
51,52,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_8,New
52,53,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_7,New
53,54,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_8,New
54,55,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_7,New
55,56,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_8,New
56,57,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_7,New
57,58,clpA_6,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,New
58,59,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_7,New
59,60,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_8,New
60,61,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_7,New
61,62,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_8,New
62,63,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_7,New
63,64,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_8,New
64,65,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_7,New
65,66,clpA_6,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_8,New
66,67,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_7,New
67,68,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_8,New
68,69,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_7,New
69,70,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_8,New
70,71,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_7,New
71,72,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_8,New
72,73,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_7,New
73,74,clpA_6,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,New
74,75,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_7,New
75,76,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_8,New
76,77,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_7,New
77,78,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_8,New
78,79,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_7,New
79,80,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_8,New
80,81,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_7,New
81,82,clpA_6,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_8,New
82,83,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_7,New
83,84,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_8,New
84,85,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_7,New
85,86,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_8,New
86,87,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_7,New
87,88,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_8,New
88,89,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_7,New
89,90,clpA_4,clpX_1,nifS_9,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,New
90,91,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_7,New
91,92,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_8,New
92,93,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_7,New
93,94,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_8,New
94,95,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_7,New
95,96,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_8,New
96,97,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_7,New
97,98,clpA_4,clpX_1,nifS_9,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_8,New
98,99,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_7,New
99,100,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_9,uvrA_8,New
100,101,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_7,New
101,102,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_15,rplB_94,uvrA_8,New
102,103,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_7,New
103,104,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_9,uvrA_8,New
104,105,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_7,New
105,106,clpA_4,clpX_1,nifS_8,pepX_4,pyrG_1,recG_16,rplB_94,uvrA_8,New
106,107,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_7,New
107,108,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_9,uvrA_8,New
108,109,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_7,New
109,110,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_15,rplB_94,uvrA_8,New
110,111,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_7,New
111,112,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_9,uvrA_8,New
112,113,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_7,New
113,114,clpA_4,clpX_1,nifS_8,pepX_115,pyrG_1,recG_16,rplB_94,uvrA_8,New
