,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportions,Sample
40,271,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_122,0.0020376647242493114,s4
41,272,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_124,0.0022120138369878285,s4
42,273,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_7,0.0028363556361554847,s4
43,274,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_122,0.0020467080781016896,s4
44,275,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_124,0.00028207259901484594,s4
45,276,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_7,0.00041368302065397135,s4
46,277,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_122,0.00032943424087330045,s4
47,620,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_124,0.0009885488358358334,s4
48,621,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_7,0.0009749903201836559,s4
49,622,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_122,0.0008232430769497014,s4
50,626,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_124,0.0009905996194547947,s4
51,627,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_7,0.0009756595774189757,s4
52,628,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_122,0.0008252938605686697,s4
53,629,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_124,0.0009810867445067643,s4
54,630,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_7,0.0009661349887352313,s4
55,631,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_122,0.0008157809856206462,s4
56,632,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_124,0.0009901300983591599,s4
57,633,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_7,0.0009755063528561099,s4
58,634,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_122,0.0008248243394730383,s4
59,635,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_124,0.00020172273804703114,s4
60,636,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_7,0.00014814308556395858,s4
61,637,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_122,0.00036474002930987626,s4
62,656,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_124,0.0011208760467767802,s4
63,657,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_7,0.001073994840428449,s4
64,658,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_122,0.0009555702878906516,s4
65,662,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_124,0.001122926830395745,s4
66,663,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_7,0.0010746640976637724,s4
67,664,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_122,0.0009576210715096199,s4
68,665,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_124,0.0011134139554477146,s4
69,666,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_7,0.001065139508980028,s4
70,667,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_122,0.000948108196561586,s4
71,668,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_124,0.0011224573093001136,s4
72,669,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_7,0.0010745108731009083,s4
73,670,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_122,0.0009571515504139851,s4
74,671,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_124,0.0002047668668142509,s4
75,672,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_7,0.00020135033809094878,s4
76,673,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_122,0.0002088573290606778,s4
77,692,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_124,0.0007138846600705656,s4
78,693,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_7,0.0007561890095043565,s4
79,694,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_122,0.0005485789011844371,s4
80,698,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_124,0.0007159354436895339,s4
81,699,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_7,0.0007569218534110387,s4
82,700,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_122,0.0005506296848034054,s4
83,701,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_124,0.0007064225687415035,s4
84,702,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_7,0.000775565257881394,s4
85,703,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_122,0.0005411168098553749,s4
86,704,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_124,0.000715465922593899,s4
87,705,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_7,0.0007567540708711771,s4
88,706,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_122,0.000550160163707767,s4
89,707,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_124,0.00012593421916681433,s4
90,708,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_7,8.557755725846841e-05,s4
91,709,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_122,0.0001349300559164955,s4
92,2348,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_124,0.0014037919490186533,s4
93,2349,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_7,0.0031547576011356493,s4
94,2350,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_122,0.0012384861901325282,s4
95,2354,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_124,0.001405842732637625,s4
96,2355,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_7,0.0031267162782323554,s4
97,2356,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_122,0.0012405369737515035,s4
98,2357,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_124,0.0013963298576895912,s4
99,2358,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_7,0.0013598420556369117,s4
100,2359,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_122,0.0012310240988034661,s4
101,2360,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_124,0.0014053732115419867,s4
102,2361,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_7,0.0031331362593124967,s4
103,2362,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_122,0.0012400674526558547,s4
104,2363,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_124,0.00020100364151979383,s4
105,2364,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_7,0.00014799835641977205,s4
106,2365,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_122,0.00032046261744144225,s4
107,2384,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_124,0.0015361191599596036,s4
108,2385,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_7,0.0028313662016212597,s4
109,2386,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_122,0.0013708134010734854,s4
110,2390,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_124,0.0015381699435785719,s4
111,2391,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_7,0.00280332487871799,s4
112,2392,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_122,0.0013728641846924503,s4
113,2393,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_124,0.001528657068630545,s4
114,2394,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_7,0.001458846575881705,s4
115,2395,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_122,0.0013633513097444233,s4
116,2396,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_124,0.001537700422482937,s4
117,2397,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_7,0.002809744859798135,s4
118,2398,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_122,0.001372394663596798,s4
119,2399,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_124,0.00020404777028701013,s4
120,2400,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_7,0.00018002441726975085,s4
121,2401,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_122,0.00020188710500478393,s4
122,2420,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_124,0.001129127773253396,s4
123,2421,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_7,0.0025405038618382253,s4
124,2422,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_122,0.0009638220143672709,s4
125,2426,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_124,0.0011311785568723642,s4
126,2427,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_7,0.0025124625389349453,s4
127,2428,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_122,0.0009658727979862287,s4
128,2429,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_124,0.0011216656819243338,s4
129,2430,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_7,0.001094635102149492,s4
130,2431,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_122,0.0009563599230382087,s4
131,2432,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_124,0.001130709035776726,s4
132,2433,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_7,0.002518882520015083,s4
133,2434,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_122,0.0009654032768905939,s4
134,2435,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_124,0.00012521512263957355,s4
135,2436,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_7,8.545257726188735e-05,s4
136,2437,New,clpA_4,clpX_11,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_122,0.0001230544573573543,s4
137,2780,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_124,0.002495088173841798,s4
138,2781,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_7,0.07478991639110777,s4
139,2782,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_122,0.002329782414955673,s4
140,2784,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_1,uvrA_7,0.10760830303097903,s4
141,2786,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_124,0.002497138957460763,s4
142,2787,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_7,0.021798738755263558,s4
143,2788,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_122,0.002331833198574638,s4
144,2789,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_124,0.0024876260825127394,s4
145,2790,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_7,0.0028572816422925765,s4
146,2791,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_122,0.0023223203236266074,s4
147,2792,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_124,0.0024966694363651315,s4
148,2793,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_7,0.038804914775746165,s4
149,2794,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_122,0.002331363677478996,s4
150,2795,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_124,0.00043100945319136594,s4
151,2796,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_7,0.0007472759227871578,s4
152,2797,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_122,0.000650927806523878,s4
153,2816,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_124,0.002627415384782745,s4
154,2817,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_7,0.06680657775755577,s4
155,2818,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_122,0.0024621096258966232,s4
156,2820,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_1,uvrA_7,0.09962496439742705,s4
157,2822,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_124,0.0026294661684017097,s4
158,2823,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_7,0.013815400121711688,s4
159,2824,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_122,0.002464160409515581,s4
160,2825,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_124,0.0026199532934536897,s4
161,2826,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_7,0.002598211092211148,s4
162,2827,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_122,0.0024546475345675577,s4
163,2828,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_124,0.0026289966473060818,s4
164,2829,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_7,0.030821576142194225,s4
165,2830,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_122,0.002463690888419943,s4
166,2831,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_124,0.00043619078609749215,s4
167,2832,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_7,0.0008310473412515805,s4
168,2833,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_122,0.0004950451062746795,s4
169,2852,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_124,0.0022204239980765303,s4
170,2853,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_7,0.004275715195442776,s4
171,2854,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_122,0.0020551182391904087,s4
172,2856,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_1,uvrA_7,0.018667054628578903,s4
173,2858,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_124,0.0022224747816954986,s4
174,2859,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_7,0.0042476738725394855,s4
175,2860,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_3,uvrA_122,0.0020571690228093735,s4
176,2861,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_124,0.0022129619067474786,s4
177,2862,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_7,0.00224302790299513,s4
178,2863,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_186,uvrA_122,0.0020476561478613466,s4
179,2864,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_124,0.0022220052605998707,s4
180,2865,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_7,0.00425409385361962,s4
181,2866,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_8,uvrA_122,0.002056699501713735,s4
182,2867,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_124,0.00035460025880920676,s4
183,2868,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_7,0.0006259360082942166,s4
184,2869,New,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_9,recG_6,rplB_188,uvrA_122,0.00042111783313049725,s4
