,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportions,Sample
0,41,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.05166751277052311,s2
1,42,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.6436658205614177,s2
0,33,New,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.014201464893065566,s2
1,34,New,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.016220453382695905,s2
2,35,New,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,0.005638780829026258,s2
3,36,New,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.01506009940097403,s2
4,37,New,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,-0.000461926423351783,s2
5,38,New,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.0035126360485864144,s2
6,39,New,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,-0.0040449788312459005,s2
7,40,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.8358595811573889,s2
8,41,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.2802997177595583,s2
9,42,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.004069035848083509,s2
10,43,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,-0.0034885790317488053,s2
11,44,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.0004859834401893939,s2
12,45,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,-0.01074054684224101,s2
13,46,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,-0.005614723812188648,s2
14,47,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,-0.01391782095759758,s2
15,48,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,-0.01010695463956018,s2
