,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportions,Sample
0,41,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.9739999001511763,s5
1,42,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,-0.02499990015183205,s5
0,51,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.2493716983608809,s5
1,52,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_83,0.051538342261465926,s5
2,53,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_9,uvrA_7,0.053038341332759344,s5
3,54,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_9,uvrA_83,0.00199901716506894,s5
4,55,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.026381450332317685,s5
5,56,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_83,0.0013427043974898391,s5
6,57,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_1,recG_6,rplB_9,uvrA_7,0.0013427062549028995,s5
7,58,New,clpA_4,clpX_8,nifS_1,pepX_1,pyrG_1,recG_6,rplB_9,uvrA_83,0.0008804386747012468,s5
8,41,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.7179149385397564,s5
9,59,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_83,-0.026628083888030854,s5
10,60,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_9,uvrA_7,-0.02512808481673739,s5
11,61,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_9,uvrA_83,-0.0042113686068120885,s5
