,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
50,51,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
51,52,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
52,53,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
53,54,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
54,55,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
55,56,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
56,57,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
57,58,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
58,59,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
59,60,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
60,61,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
61,62,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,New
62,63,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
63,64,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
64,65,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
65,66,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
66,67,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
67,68,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
68,69,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
69,70,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
70,71,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
71,72,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
72,73,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
73,74,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
74,75,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
75,76,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
76,77,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
77,78,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
78,79,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
79,80,clpA_144,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
80,81,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
81,82,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
82,83,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
83,84,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
84,85,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
85,86,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
86,87,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
87,88,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
88,89,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
89,90,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
90,91,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
91,92,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
92,93,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
93,94,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,New
94,95,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
95,96,clpA_144,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
96,97,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
97,98,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
98,99,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
99,100,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
100,101,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
101,102,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
102,103,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
103,104,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
104,105,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
105,106,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
106,107,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
107,108,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
108,109,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
109,110,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
110,111,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
111,112,clpA_144,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
112,113,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
113,114,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
114,115,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
115,116,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
116,117,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
117,118,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
118,119,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
119,120,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
120,121,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
121,122,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
122,123,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
123,124,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
124,125,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
125,126,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,New
126,127,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
127,128,clpA_144,clpX_24,nifS_43,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
128,129,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
129,130,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
130,131,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
131,132,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
132,133,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
133,134,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
134,135,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
135,136,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
136,137,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
137,138,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
138,139,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
139,140,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
140,141,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
141,142,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
142,143,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
143,144,clpA_37,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
144,145,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
145,146,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
146,147,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
147,148,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
148,149,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
149,150,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
150,151,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
