,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_36,clpX_82,nifS_23,pepX_87,pyrG_22,recG_27,rplB_23,uvrA_28,Existing
1,2,clpA_36,clpX_82,nifS_23,pepX_87,pyrG_10,recG_27,rplB_23,uvrA_28,New
2,3,clpA_36,clpX_82,nifS_84,pepX_87,pyrG_22,recG_27,rplB_23,uvrA_28,New
3,4,clpA_36,clpX_82,nifS_84,pepX_87,pyrG_10,recG_27,rplB_23,uvrA_28,New
