,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion
0,1,Existing,clpA_36,clpX_82,nifS_23,pepX_87,pyrG_22,recG_27,rplB_23,uvrA_28,0.289
1,4,New,clpA_36,clpX_82,nifS_84,pepX_87,pyrG_10,recG_27,rplB_23,uvrA_28,0.711
